pid,name,country_of_origin
1,Tomato - Peeled Italian Canned,Brazil
2,Cake - Dulce De Leche,Poland
3,Food Colouring - Red,Indonesia
4,"Jam - Marmalade, Orange",Russia
5,"Lamb - Shoulder, Boneless",Vietnam
6,Cookies Oatmeal Raisin,Zimbabwe
7,Beer - Rickards Red,Malta
8,Cheese - Le Cheve Noir,Russia
9,"Salmon - Smoked, Sliced",Togo
10,Eggroll,Brazil
11,Squash - Pepper,Yemen
12,Olives - Nicoise,Poland
13,Beef - Inside Round,Czech Republic
14,Cookies - Englishbay Wht,China
15,Wine - Alicanca Vinho Verde,Russia
16,Sauce - Demi Glace,Greece
17,Soup - Campbells Pasta Fagioli,Nigeria
18,Longos - Penne With Pesto,Mexico
19,Beer - Pilsner Urquell,China
20,Peppercorns - Green,Palestinian Territory
21,Tuna - Fresh,Indonesia
22,Beans - Soya Bean,United States
23,Oil - Olive,Malaysia
24,Spice - Onion Powder Granulated,Philippines
25,"Bread - White, Sliced",China
26,Sugar - Palm,Japan
27,"Rum - Cream, Amarula",Brazil
28,Chocolate - Dark,Indonesia
29,Beer - Moosehead,Brazil
30,Bar - Sweet And Salty Chocolate,China
31,Juice - Orangina,China
32,Buffalo - Short Rib Fresh,China
33,Vacuum Bags 12x16,Colombia
34,Containter - 3oz Microwave Rect.,Brazil
35,Cups 10oz Trans,Russia
36,Dawn Professionl Pot And Pan,Panama
37,Ocean Spray - Kiwi Strawberry,Ivory Coast
38,Otomegusa Dashi Konbu,Uganda
39,Cardamon Ground,Russia
40,Straw - Regular,Russia
41,Muffin - Mix - Creme Brule 15l,Poland
42,Beef - Short Loin,Central African Republic
43,Glass Clear 7 Oz Xl,Argentina
44,Pepperoni Slices,New Zealand
45,Wine - Chateau Aqueria Tavel,United States
46,"Cheese - Cheddar, Medium",China
47,Bread - Raisin,Sweden
48,Wine - Baron De Rothschild,China
49,Bay Leaf,United States
50,Island Oasis - Strawberry,China
51,"Stock - Veal, Brown",China
52,Bread - Hamburger Buns,Mexico
53,Sausage - Liver,Brazil
54,Kolrabi,Mongolia
55,Loquat,China
56,Puree - Blackcurrant,Serbia
57,Slt - Individual Portions,Poland
58,Beef - Striploin Aa,Panama
59,Nantucket - 518ml,Puerto Rico
60,Rice - Long Grain,Brazil
61,Jack Daniels,Mexico
62,Broom And Broom Rack White,Ukraine
63,Smoked Paprika,Russia
64,Peas - Frozen,Ukraine
65,Dasheen,United States
66,Veal Inside - Provimi,China
67,Table Cloth 90x90 White,Nigeria
68,Fond - Chocolate,Colombia
69,Flavouring - Orange,Indonesia
70,Cake - Box Window 10x10x2.5,China
71,"Pork - Bacon, Sliced",China
72,Ice Cream Bar - Hageen Daz To,Tajikistan
73,Bread Bowl Plain,Ukraine
74,"Cherries - Maraschino,jar",United States
75,Muffin - Mix - Bran And Maple 15l,Peru
76,Mayonnaise,Indonesia
77,Rum - Mount Gay Eclipes,Indonesia
78,Bread - Mini Hamburger Bun,France
