tid,cid,pid,q
1,73,5,3
1,73,24,2
1,73,73,1
1,73,85,3
1,73,148,2
1,73,192,1
1,73,250,1
1,73,290,1
1,73,295,3
1,73,389,2
1,73,464,1
1,73,481,1
1,73,516,1
1,73,569,3
1,73,609,1
1,73,611,2
1,73,707,2
1,73,838,1
1,73,867,1
1,73,984,1
2,261,8,2
2,261,39,2
2,261,67,4
2,261,131,1
2,261,168,1
2,261,181,3
2,261,188,2
2,261,195,1
2,261,209,1
2,261,225,1
2,261,236,3
2,261,259,1
2,261,264,2
2,261,355,1
2,261,363,1
2,261,382,2
2,261,411,2
2,261,488,3
2,261,496,1
2,261,508,1
2,261,513,2
2,261,759,1
2,261,876,2
2,261,916,3
2,261,943,3
3,740,8,1
3,740,120,1
3,740,148,1
3,740,171,1
3,740,221,3
3,740,233,1
3,740,322,2
3,740,384,1
3,740,389,1
3,740,404,2
3,740,427,2
3,740,519,1
3,740,853,1
3,740,878,1
3,740,903,2
3,740,944,1
3,740,964,3
4,601,39,2
4,601,140,2
4,601,257,1
4,601,384,1
4,601,430,2
4,601,507,1
4,601,659,1
4,601,717,1
4,601,787,4
4,601,795,2
4,601,797,2
4,601,809,3
4,601,811,1
4,601,883,2
4,601,894,1
4,601,936,2
4,601,957,2
5,945,169,2
5,945,193,2
5,945,238,2
5,945,307,2
5,945,427,1
5,945,430,2
5,945,495,1
5,945,519,1
5,945,522,3
5,945,525,1
5,945,574,1
5,945,614,1
5,945,667,1
5,945,668,3
5,945,676,1
5,945,682,2
5,945,722,1
5,945,735,2
5,945,823,1
5,945,861,1
5,945,884,3
5,945,899,4
5,945,955,1
5,945,974,1
6,639,118,3
6,639,261,2
6,639,300,2
6,639,335,2
6,639,448,2
6,639,463,2
6,639,476,3
6,639,558,3
6,639,672,3
6,639,686,3
6,639,786,1
6,639,863,1
7,347,64,1
7,347,75,3
7,347,175,3
7,347,313,1
7,347,465,2
7,347,507,1
7,347,524,3
7,347,626,2
7,347,633,1
7,347,858,2
8,158,196,2
8,158,273,1
8,158,526,1
8,158,565,1
8,158,619,3
8,158,713,1
8,158,876,2
8,158,959,1
9,52,43,1
9,52,137,2
9,52,158,1
9,52,168,2
9,52,243,1
9,52,303,2
9,52,315,1
9,52,361,1
9,52,363,1
9,52,422,2
9,52,437,2
9,52,451,1
9,52,558,2
9,52,559,1
9,52,562,1
9,52,590,1
9,52,645,1
9,52,647,2
9,52,678,2
9,52,736,2
9,52,772,2
9,52,775,1
9,52,815,1
9,52,902,1
9,52,938,1
9,52,964,1
9,52,989,1
10,466,2,3
10,466,15,1
10,466,53,2
10,466,73,1
10,466,80,2
10,466,145,2
10,466,216,1
10,466,259,1
10,466,314,1
10,466,341,3
10,466,358,3
10,466,448,2
10,466,532,2
10,466,613,1
10,466,676,1
10,466,686,2
10,466,692,2
10,466,704,2
10,466,817,1
10,466,920,1
11,148,34,2
11,148,60,1
11,148,158,2
11,148,241,2
11,148,243,2
11,148,346,1
11,148,354,2
11,148,474,1
11,148,497,1
11,148,510,1
11,148,517,4
11,148,555,1
11,148,562,1
11,148,691,1
11,148,774,2
11,148,811,2
11,148,864,2
11,148,968,2
11,148,969,2
12,401,39,2
12,401,83,2
12,401,86,1
12,401,238,2
12,401,320,1
12,401,345,2
12,401,559,1
12,401,572,2
12,401,669,1
12,401,795,2
12,401,942,3
13,60,2,1
13,60,62,2
13,60,95,1
13,60,183,1
13,60,189,2
13,60,236,1
13,60,248,1
13,60,268,4
13,60,270,2
13,60,280,1
13,60,344,1
13,60,390,1
13,60,411,1
13,60,417,3
13,60,432,2
13,60,448,1
13,60,505,1
13,60,525,1
13,60,595,2
13,60,619,1
13,60,660,1
13,60,680,1
13,60,686,1
13,60,761,2
13,60,765,1
13,60,772,1
13,60,810,3
13,60,873,1
13,60,915,2
13,60,955,1
13,60,981,1
14,894,52,1
14,894,66,3
14,894,89,1
14,894,100,2
14,894,106,1
14,894,166,1
14,894,169,3
14,894,270,2
14,894,291,2
14,894,345,3
14,894,382,2
14,894,387,2
14,894,393,1
14,894,407,1
14,894,424,2
14,894,445,1
14,894,547,1
14,894,548,1
14,894,551,2
14,894,567,1
14,894,569,3
14,894,584,1
14,894,615,1
14,894,621,2
14,894,667,4
14,894,668,2
14,894,733,3
14,894,793,2
14,894,809,1
14,894,879,2
14,894,915,2
14,894,990,3
14,894,999,2
15,136,2,1
15,136,181,1
15,136,192,1
15,136,269,2
15,136,291,2
15,136,340,1
15,136,414,1
15,136,441,1
15,136,474,2
15,136,617,3
15,136,778,3
15,136,848,1
15,136,875,1
15,136,883,1
15,136,930,3
15,136,979,2
16,602,2,1
16,602,3,2
16,602,65,1
16,602,213,1
16,602,243,2
16,602,274,2
16,602,334,2
16,602,394,1
16,602,443,1
16,602,459,1
16,602,468,2
16,602,749,2
16,602,888,1
16,602,925,1
17,407,92,2
17,407,96,1
17,407,116,1
17,407,182,5
17,407,332,3
17,407,356,3
17,407,391,1
17,407,455,2
17,407,466,3
17,407,527,1
17,407,587,2
17,407,754,1
17,407,992,2
18,918,5,1
18,918,79,2
18,918,127,2
18,918,204,2
18,918,222,2
18,918,296,2
18,918,407,2
18,918,409,2
18,918,542,1
18,918,546,1
18,918,610,1
18,918,627,3
18,918,660,5
